,model,method,ngram_range,min_df,max_df,max_feature,features_limit,train_acc,test_acc,f1_train,f1_test,gap_percent,comments
31,LogisticRegression,countVectorizer,"(1, 3)",10,0.95,4666,5000,0.9628,0.9274,0.962,0.9265,3.55,"ngram=(1, 3), min_df=10, max_df=0.95"
32,LogisticRegression,countVectorizer,"(1, 3)",10,0.99,4666,5000,0.9628,0.9274,0.962,0.9265,3.55,"ngram=(1, 3), min_df=10, max_df=0.99"
33,LogisticRegression,countVectorizer,"(1, 3)",20,0.9,2482,5000,0.9491,0.9237,0.9481,0.9228,2.54,"ngram=(1, 3), min_df=20, max_df=0.9"
34,LogisticRegression,countVectorizer,"(1, 3)",20,0.95,2482,5000,0.9491,0.9237,0.9481,0.9228,2.54,"ngram=(1, 3), min_df=20, max_df=0.95"
35,LogisticRegression,countVectorizer,"(1, 3)",20,0.99,2482,5000,0.9491,0.9237,0.9481,0.9228,2.54,"ngram=(1, 3), min_df=20, max_df=0.99"
36,LogisticRegression,countVectorizer,"(2, 2)",1,0.9,5000,5000,0.869,0.8215,0.8747,0.8327,4.2,"ngram=(2, 2), min_df=1, max_df=0.9"
37,LogisticRegression,countVectorizer,"(2, 2)",1,0.95,5000,5000,0.869,0.8215,0.8747,0.8327,4.2,"ngram=(2, 2), min_df=1, max_df=0.95"
38,LogisticRegression,countVectorizer,"(2, 2)",1,0.99,5000,5000,0.869,0.8215,0.8747,0.8327,4.2,"ngram=(2, 2), min_df=1, max_df=0.99"
39,LogisticRegression,countVectorizer,"(2, 2)",5,0.9,4132,5000,0.8582,0.8164,0.8653,0.8288,3.64,"ngram=(2, 2), min_df=5, max_df=0.9"
40,LogisticRegression,countVectorizer,"(2, 2)",5,0.95,4132,5000,0.8582,0.8164,0.8653,0.8288,3.64,"ngram=(2, 2), min_df=5, max_df=0.95"
41,LogisticRegression,countVectorizer,"(2, 2)",5,0.99,4132,5000,0.8582,0.8164,0.8653,0.8288,3.64,"ngram=(2, 2), min_df=5, max_df=0.99"
42,LogisticRegression,countVectorizer,"(2, 2)",10,0.9,1353,5000,0.7846,0.7579,0.8074,0.7875,1.99,"ngram=(2, 2), min_df=10, max_df=0.9"
43,LogisticRegression,countVectorizer,"(2, 2)",10,0.95,1353,5000,0.7846,0.7579,0.8074,0.7875,1.99,"ngram=(2, 2), min_df=10, max_df=0.95"
44,LogisticRegression,countVectorizer,"(2, 2)",10,0.99,1353,5000,0.7846,0.7579,0.8074,0.7875,1.99,"ngram=(2, 2), min_df=10, max_df=0.99"
45,LogisticRegression,countVectorizer,"(2, 2)",20,0.9,469,5000,0.7062,0.6915,0.7555,0.7457,0.97,"ngram=(2, 2), min_df=20, max_df=0.9"
46,LogisticRegression,countVectorizer,"(2, 2)",20,0.95,469,5000,0.7062,0.6915,0.7555,0.7457,0.97,"ngram=(2, 2), min_df=20, max_df=0.95"
47,LogisticRegression,countVectorizer,"(2, 2)",20,0.99,469,5000,0.7062,0.6915,0.7555,0.7457,0.97,"ngram=(2, 2), min_df=20, max_df=0.99"
48,LinearSVC,countVectorizer,"(1, 1)",1,0.9,5000,5000,0.9811,0.9206,0.9806,0.919,6.15,"ngram=(1, 1), min_df=1, max_df=0.9"
49,LinearSVC,countVectorizer,"(1, 1)",1,0.95,5000,5000,0.9811,0.9206,0.9806,0.919,6.15,"ngram=(1, 1), min_df=1, max_df=0.95"
50,LinearSVC,countVectorizer,"(1, 1)",1,0.99,5000,5000,0.9811,0.9206,0.9806,0.919,6.15,"ngram=(1, 1), min_df=1, max_df=0.99"
51,LinearSVC,countVectorizer,"(1, 1)",5,0.9,4888,5000,0.9799,0.9199,0.9793,0.9183,6.1,"ngram=(1, 1), min_df=5, max_df=0.9"
52,LinearSVC,countVectorizer,"(1, 1)",5,0.95,4888,5000,0.9799,0.9199,0.9793,0.9183,6.1,"ngram=(1, 1), min_df=5, max_df=0.95"
53,LinearSVC,countVectorizer,"(1, 1)",5,0.99,4888,5000,0.9799,0.9199,0.9793,0.9183,6.1,"ngram=(1, 1), min_df=5, max_df=0.99"
54,LinearSVC,countVectorizer,"(1, 1)",10,0.9,3185,5000,0.9662,0.9179,0.9654,0.9167,4.87,"ngram=(1, 1), min_df=10, max_df=0.9"
55,LinearSVC,countVectorizer,"(1, 1)",10,0.95,3185,5000,0.9662,0.9179,0.9654,0.9167,4.87,"ngram=(1, 1), min_df=10, max_df=0.95"
56,LinearSVC,countVectorizer,"(1, 1)",10,0.99,3185,5000,0.9662,0.9179,0.9654,0.9167,4.87,"ngram=(1, 1), min_df=10, max_df=0.99"
57,LinearSVC,countVectorizer,"(1, 1)",20,0.9,1987,5000,0.9495,0.9159,0.9484,0.9147,3.37,"ngram=(1, 1), min_df=20, max_df=0.9"
58,LinearSVC,countVectorizer,"(1, 1)",20,0.95,1987,5000,0.9495,0.9159,0.9484,0.9147,3.37,"ngram=(1, 1), min_df=20, max_df=0.95"
59,LinearSVC,countVectorizer,"(1, 1)",20,0.99,1987,5000,0.9495,0.9159,0.9484,0.9147,3.37,"ngram=(1, 1), min_df=20, max_df=0.99"
60,LinearSVC,countVectorizer,"(1, 2)",1,0.9,5000,5000,0.9821,0.919,0.9816,0.9174,6.42,"ngram=(1, 2), min_df=1, max_df=0.9"
61,LinearSVC,countVectorizer,"(1, 2)",1,0.95,5000,5000,0.9821,0.919,0.9816,0.9174,6.42,"ngram=(1, 2), min_df=1, max_df=0.95"
