,model,ngram_range,min_df,max_df,features_rec,max_features,test_accuracy,train_f1,test_f1,gap_percent,comments
31,LogisticRegression,"(2, 2)",10,0.95,1353,10000,0.7579440620881535,0.8073989196267801,0.7874501735887874,1.99,"ngram=(2, 2), min_df=10, max_df=0.95"
32,LogisticRegression,"(2, 2)",10,0.99,1353,10000,0.7579440620881535,0.8073989196267801,0.7874501735887874,1.99,"ngram=(2, 2), min_df=10, max_df=0.99"
33,LogisticRegression,"(2, 2)",20,0.9,469,10000,0.6914628788988139,0.7554851292052657,0.7457463497043563,0.97,"ngram=(2, 2), min_df=20, max_df=0.9"
34,LogisticRegression,"(2, 2)",20,0.95,469,10000,0.6914628788988139,0.7554851292052657,0.7457463497043563,0.97,"ngram=(2, 2), min_df=20, max_df=0.95"
35,LogisticRegression,"(2, 2)",20,0.99,469,10000,0.6914628788988139,0.7554851292052657,0.7457463497043563,0.97,"ngram=(2, 2), min_df=20, max_df=0.99"
36,LinearSVC,"(1, 1)",1,0.9,10000,10000,0.9244398887099136,0.989800910767378,0.9228007181328546,6.7,"ngram=(1, 1), min_df=1, max_df=0.9"
37,LinearSVC,"(1, 1)",1,0.95,10000,10000,0.9244398887099136,0.989800910767378,0.9228007181328546,6.7,"ngram=(1, 1), min_df=1, max_df=0.95"
38,LinearSVC,"(1, 1)",1,0.99,10000,10000,0.9244398887099136,0.989800910767378,0.9228007181328546,6.7,"ngram=(1, 1), min_df=1, max_df=0.99"
39,LinearSVC,"(1, 1)",10,0.9,3185,10000,0.9178503441206619,0.9653747934505033,0.916654286138761,4.87,"ngram=(1, 1), min_df=10, max_df=0.9"
40,LinearSVC,"(1, 1)",10,0.95,3185,10000,0.9178503441206619,0.9653747934505033,0.916654286138761,4.87,"ngram=(1, 1), min_df=10, max_df=0.95"
41,LinearSVC,"(1, 1)",10,0.99,3185,10000,0.9178503441206619,0.9653747934505033,0.916654286138761,4.87,"ngram=(1, 1), min_df=10, max_df=0.99"
42,LinearSVC,"(1, 1)",20,0.9,1987,10000,0.9159466979059891,0.9484088356420817,0.9147355912061794,3.37,"ngram=(1, 1), min_df=20, max_df=0.9"
43,LinearSVC,"(1, 1)",20,0.95,1987,10000,0.9159466979059891,0.9484088356420817,0.9147355912061794,3.37,"ngram=(1, 1), min_df=20, max_df=0.95"
44,LinearSVC,"(1, 1)",20,0.99,1987,10000,0.9159466979059891,0.9484088356420817,0.9147355912061794,3.37,"ngram=(1, 1), min_df=20, max_df=0.99"
45,LinearSVC,"(1, 2)",1,0.9,10000,10000,0.9238541514130912,0.9961206734209634,0.9223184941738871,7.38,"ngram=(1, 2), min_df=1, max_df=0.9"
46,LinearSVC,"(1, 2)",1,0.95,10000,10000,0.9238541514130912,0.9961206734209634,0.9223184941738871,7.38,"ngram=(1, 2), min_df=1, max_df=0.95"
